"Stkcd","Ddate","BPS"
"000088","2016-12-31","3.335920"
"000088","2017-12-31","3.642993"
"000088","2018-12-31","3.987262"
"000088","2019-12-31","4.211949"
"000089","2003-06-30","3.297861"
"000089","2003-12-31","3.527033"
"000089","2004-12-31","3.645034"
"000089","2005-12-31","3.901988"
"000089","2006-12-31","2.950559"
"000089","2007-12-31","3.224005"
"000089","2008-12-31","2.765294"
"000089","2009-12-31","3.072242"
"000089","2010-12-31","3.463952"
"000089","2011-12-31","4.059293"
"000089","2012-12-31","4.348126"
"000089","2013-12-31","4.618250"
"000089","2014-12-31","4.683076"
"000089","2015-12-31","5.000532"
"000089","2016-12-31","5.227362"
"000089","2017-12-31","5.471174"
"000089","2018-12-31","5.684340"
"000089","2019-12-31","5.889997"
"000089","2020-12-31","5.821920"
"000089","2021-12-31","5.804013"
"000089","2022-12-31","5.215288"
"000090","2001-12-31","4.658270"
"000090","2002-12-31","4.815359"
"000090","2003-12-31","5.108256"
"000090","2004-12-31","5.206062"
"000090","2005-12-31","5.233704"
"000090","2006-12-31","5.945178"
"000090","2007-12-31","10.381897"
"000090","2008-12-31","6.843972"
"000090","2009-12-31","5.773945"
"000090","2010-12-31","10.242122"
"000090","2011-12-31","6.722675"
"000090","2012-12-31","6.413081"
"000090","2013-12-31","6.101106"
"000090","2014-12-31","6.690480"
"000090","2015-12-31","7.244520"
"000090","2016-12-31","5.289457"
"000090","2017-12-31","5.500771"
"000090","2018-12-31","6.079149"
"000090","2019-12-31","5.170082"
"000090","2020-12-31","5.906888"
"000090","2021-12-31","6.864442"
"000090","2022-12-31","7.539673"
"000096","2001-12-31","3.042693"
"000096","2002-12-31","3.187510"
"000096","2003-12-31","2.284878"
"000096","2014-12-31","3.580578"
"000096","2015-12-31","3.825337"
"000096","2016-12-31","4.365607"
